,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
5,Walter Ruddiman,CrossFit Flex,,,,North America,Men (65+),,,,155 lb,335 lb,,,,,,,16,,,
13,Nick Love,LPT CrossFit,,,,United States,Men,,455 lb,,315 lb,575 lb,360,,2:40,1:33,,,,25:12,255 lb,
20,Darren Speyers,,,,,Oceania,Men,,122 kg,,65 kg,171 kg,313,,9:06,,10:32,,12,,40 kg,1:14
22,Josselin Dumont,,,"2023 open
7143rd
worldwide",7143rd,worldwide,Men,Men,150 kg,,120 kg,185 kg,,,3:49,2:45,,,30,23:42,100 kg,0:56
31,Brandon Hertrampf,CrossFit Fury,,"2023 open
12794th
worldwide",12794th,worldwide,Men,Men,,,,,,,2:26,,,,,,,
38,Alan San Luis,CrossFit Brunswick,,,,North America,Men (65+),,185 lb,,125 lb,230 lb,,,9:51,3:34,12:05,,10,,55 lb,
44,Ariana Anderson,,,,,North America,Women,,160 lb,,135 lb,235 lb,,,,,,,,,115 lb,
58,Rebecca Meagher,SouthWind CrossFit,,,,North America,Women,,255 lb,,195 lb,300 lb,331,18:31,3:30,1:45,10:21,,15,25:20,155 lb,1:24
69,Anna Lehman,CrossFit Empower,,"2023 open
2795th
worldwide",2795th,worldwide,Women,Women (45-49),115 lb,,95 lb,200 lb,264,,7:11,,10:42,,20,23:16,80 lb,
80,Dave Hunnicutt,CrossFit 260,,,,North America,Men,,,,205 lb,375 lb,,,,,,,,,165 lb,
85,Allison Mixon,,,,,North America East,Women (55-59),,140 lb,,95 lb,190 lb,,,,,,,,30:41,70 lb,1:52
88,Thomas Delattre,CrossFit Heart of Pirate,,"2023 quarterfinals
1149th
Europe",1149th,Europe,Men,Men,140 kg,,115 kg,190 kg,343,,3:01,2:40,,,51,19:00,204 lb,1:10
91,Hemmi Kinnunen,,,,,Europe,Men,,150 kg,,112 kg,185 kg,,,3:43,,,,,,90 kg,
102,Ryan Beaty,CrossFit Plain City,,"2023 open
1735th
worldwide",1735th,worldwide,Men,Men (45-49),315 lb,,215 lb,375 lb,313,,5:22,2:56,9:09,,,51:36,150 lb,
116,Sheridan Minke,CrossFit Loaded,,,,Oceania,Women,,78 kg,,70 kg,115 kg,,,,,,,,,59 kg,
134,Mac Bracey,CrossFit RVA,,,,United States,Men,,345 lb,,175 lb,335 lb,,,,,,,,,135 lb,
139,Cristian Iversa,CrossFit Amigdala,,,,Europe,Men,,150 kg,,95 kg,180 kg,,,3:05,4:10,,,39,,75 kg,
144,Scott Myers,The Claw CrossFit,,,,United States,Men (60+),,235 lb,,205 lb,345 lb,287,,12:07,7:48,,,11,32:30,135 lb,1:23
146,John Cornwell,CrossFit Crestview,,"2023 open
51527th
worldwide",51527th,worldwide,Men,Men,395 lb,,275 lb,450 lb,285,,4:22,2:48,10:57,,21,31:49,195 lb,1:10
155,Andreas Nolle,Lakeshore CrossFit,,"2023 open
4608th
worldwide",4608th,worldwide,Men,Men,190 kg,,135 lb,250 kg,,,3:33,3:56,,,,,111 lb,
173,Jameson Williams,ADK CrossFit,,,,United States,Men,,315 lb,,245 lb,315 lb,,,,,,,,,185 lb,1:47
183,Duke Dispo,,,,,North America West,Men,,395 lb,,225 lb,385 lb,,,4:42,5:55,10:15,,,,175 lb,
202,James Ross,Heber City CrossFit,,"2023 open
165th
worldwide",165th,worldwide,Men,Men (45-49),375 lb,,290 lb,435 lb,352,,2:45,2:08,,,50,19:45,185 lb,0:57
205,Chrystal McCullough,CrossFit Lehi,,,,North America,Women,,230 lb,,155 lb,265 lb,310,26:00,6:47,4:57,10:56,,,,150 lb,
219,Kyle Hillman,CrossFit Constant Conditioning,,"2023 open
5925th
worldwide",5925th,worldwide,Men,Men (40-44),155 lb,,165 lb,275 lb,,,,,,,,21:31,115 lb,
231,Dani Perez,STL CrossFit,,"2023 open
2198th
worldwide",2198th,worldwide,Men,Men (35-39),,,,200 kg,,,,,,,,,,
241,Gillian Calbi,CrossFit Montclair,,,,North America East,Women,,165 lb,,97 lb,175 lb,,,,,,,,,,
242,Jay Marwan,CrossFit L3,,,,North America,Men,,350 lb,,245 lb,400 lb,,,,,,,,,185 lb,
