,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
8,Shane Vandyk,CrossFit Kvell,,"2023 open
11791st
worldwide",11791st,worldwide,Men,Men (45-49),300 lb,,175 lb,350 lb,,36:02,,,,,,,130 lb,1:12
39,Owen Herrock,CrossFit JXN,,,,North America,Men,,300 lb,,205 lb,,,,,,,,,,165 lb,
47,Matthew Long,CrossFit Rift Valley,,"2023 open
1887th
worldwide",1887th,worldwide,Men,Men (45-49),455 lb,,250 lb,475 lb,,,4:51,,,,25,,185 lb,
56,Jason Sutter,Building Your Temple CrossFit,,,,Central East,Men,,365 lb,,205 lb,465 lb,,,,,,,,,175 lb,
97,Peter Conaty,Sandhills CrossFit,,,,North America East,Men (65+),,300 lb,,185 lb,425 lb,,,,,,,,,145 lb,
100,Courtney Zedaker,,,"2023 open
10705th
worldwide",10705th,worldwide,Women,Women,225 lb,,165 lb,,,,,,,,,,115 lb,
101,Narayani Cuevas,Bahia CrossFit,,"2023 quarterfinals
858th
worldwide",858th,worldwide,Women,Women (35-39),240 lb,,180 lb,305 lb,324,28:40,3:10,2:44,8:36,,35,,135 lb,
104,Noah Tunney,CrossFit Balboa,,,,North America,Men,,325 lb,,225 lb,400 lb,333,21:50,3:38,3:00,9:47,,,,155 lb,1:25
127,Kim Bennett,CrossFit Sacrifice,,,,North America,Women,,255 lb,,145 lb,310 lb,,,,,,,,,95 lb,
133,Brian Wilkins,CrossFit Kazam,,,,Mid Atlantic,Men,,200 lb,,145 lb,250 lb,,,,,,,,,115 lb,
134,Arthur Black,,,,,South East,Men,,365 lb,,225 lb,425 lb,,,7:50,,,,,24:50,185 lb,1:18
137,Van Aston,,,,,South West,Men,,345 lb,,215 lb,405 lb,,,4:18,3:28,,,,23:32,180 lb,1:15
139,David Bartlett,CrossFit Solace,,"2023 open
16347th
worldwide",16347th,worldwide,Men,Men (35-39),205 lb,,145 lb,310 lb,248,,,,,,,24:14,130 lb,
215,Ricardo Torres,Seaside CrossFit,,,,North America,Men,,415 lb,,252 lb,425 lb,281,,3:32,2:20,,,62,23:03,195 lb,
236,Lisa Brand,CrossFit Riverland,,,,Australasia,Women,,105 kg,,80 kg,110 kg,,,,,,,,,60 kg,
