Rank,Name,Country,Region,Affiliation,Age,Height,Weight
1,Justin Medeiros,United States,North America West,CrossFit Fort Vancouver,24,69 in,195 lb
2,Patrick Vellner,Canada,North America West,CrossFit Nanaimo,33,71 in,195 lb
3,Dallin Pepper,United States,North America East,CrossFit Naples,21,72 in,215 lb
4,Samuel Cournoyer,Canada,North America East,CrossFit ADM Chambly,27,180 cm,205 lb
5,Jeffrey Adler,Canada,North America East,CrossFit Wonderland,29,69 in,197 lb
6,Noah Ohlsen,United States,North America East,Peak 360 CrossFit,32,67 in,190 lb
7,Fabian Beneito,Spain,Europe,CrossFit Zarautz,27,178 cm,90 kg
7,Cole Greashaber,United States,North America West,CrossFit Lee's Summit (LS),23,72 in,212 lb
9,Björgvin Karl Guðmundsson,Iceland,Europe,CrossFit Hengill,30,178 cm,190 lb
10,Victor Hoffer,France,Europe,CrossFit Grillen,20,180 cm,85 kg
11,Spencer Panchik,United States,North America East,CrossFit Mentality,27,68 in,190 lb
12,Lazar Đukić,Serbia,Europe,Nero CrossFit,27,182 cm,93 kg
13,Nick Mathew,United States,North America West,CrossFit Minnetonka,29,69 in,200 lb
14,Mitchel Stevenson,United States,North America West,CrossFit i1uvit,30,69 in,193 lb
15,Ricky Garard,Australia,Oceania,Fitness Alley CrossFit,29,179 cm,205 lb
16,Harry Lightfoot,United Kingdom,Europe,CrossFit Kernow,24,,
17,Jack Farlow,Canada,North America East,CrossFit PSC,21,73 in,210 lb
18,Saxon Panchik,United States,North America East,CrossFit East Nashville,27,69 in,185 lb
19,Roman Khrennikov,United States,North America East,CrossFit Mayhem,28,182 cm,103 kg
20,Bronislaw Olenkowicz,Poland,Europe,CrossFit Strong House,34,182 cm,99 kg
21,Cole Sager,United States,North America West,CrossFit Spokane Valley,32,71 in,200 lb
22,Jayson Hopper,United States,North America East,CrossFit Crash,25,73 in,220 lb
23,Aniol Ekai,Spain,Europe,CrossFit Zarautz,26,187 cm,89 kg
24,Chandler Smith,United States,North America West,CrossFit Invictus,30,68 in,195 lb
25,Jay Crouch,Australia,Oceania,Reebok CrossFit Frankston,24,175 cm,85 kg
26,Luis Oscar Mora,Mexico,North America West,,24,170 cm,90 kg
26,Reggie Fasa,United Kingdom,Europe,CrossFit Chester Le Street,28,174 cm,93 kg
28,Brent Fikowski,Canada,North America West,,32,74 in,220 lb
29,Scott Tetlow,United States,North America West,Finish Strong CrossFit,30,63 in,175 lb
30,Tyler Christophel,United States,North America East,CrossFit Mayhem,33,70 in,195 lb
31,James Sprague,United States,North America East,CrossFit Naples,21,74 in,210 lb
32,Will Moorad,United States,North America East,CrossFit East Nashville,34,69 in,190 lb
33,Moritz Fiebig,Germany,Europe,,28,179 cm,95 kg
34,Jonne Koski,Finland,Europe,CrossFit 10K,28,171 cm,190 lb
35,Enrico Zenoni,Italy,Europe,CrossFit Adamantio,25,178 cm,86 kg
36,Uldis Upenieks,Latvia,Europe,,25,174 cm,85 kg
37,Jack Rozema,United States,North America West,CrossFit 785,27,69 in,205 lb
38,Alex Kotoulas,Greece,Europe,,30,172 cm,83 kg
39,Henrik Haapalainen,Finland,Europe,CrossFit Basement,28,185 cm,94 kg
40,Matt Poulin,United States,North America West,CrossFit Complete,27,70 in,195 lb
41,Marquan Jones,United States,North America East,CrossFit Roseland,33,71 in,200 lb
42,Guilherme Malheiros,Brazil,South America,CrossFit Mayhem,23,177 cm,88 kg
43,Daniel Camacho,Spain,Europe,CrossFit Zarautz,30,178 cm,89 kg
44,Lucas Heuze,France,Europe,CrossFit Genas,28,179 cm,88 kg
45,Dylan Pettit,United States,North America East,CrossFit Identity,29,71 in,218 lb
46,Cam Crockett,United States,North America East,CrossFit Cadre,25,69 in,195 lb
47,Phillip Muscarella,United States,North America West,Precision CrossFit,30,70 in,195 lb
48,Victor Ljungdal,Sweden,Europe,M21 CrossFit,27,172 cm,85 kg
49,Jake Berman,United States,North America East,Peak 360 CrossFit,27,68 in,185 lb
50,Benjamin Gutierrez,Chile,South America,Pura Sangre CrossFit,22,175 cm,89 kg
51,Samuel Kwant,United States,North America West,,27,71 in,206 lb
52,Tudor Magda,United States,North America West,University Place CrossFit,20,70 in,200 lb
53,Seth Stovall,United States,North America East,CrossFit Mayhem,21,69 in,188 lb
54,Alexandre Caron,Canada,North America East,CrossFit Levis,27,71 in,205 lb
55,Luka Đukić,Serbia,Europe,CrossFit EHOH,24,181 cm,92 kg
56,Max Olivestrand,Sweden,Europe,CrossFit Nordic,34,,
57,Giorgos Karavis,Greece,Europe,,28,177 cm,92 kg
58,Colten Mertens,United States,North America West,CrossFit Kilo,25,64 in,180 lb
59,Evan Rogers,United States,North America East,Camel City CrossFit,29,71 in,185 lb
60,Antoine Dumain,France,Europe,CrossFit TANKA,29,179 cm,90 kg
61,Alec Smith,United States,North America East,CrossFit Krypton,30,71 in,185 lb
62,Peter Mason,United States,North America East,CrossFit EXP,28,70 in,190 lb
63,Nate Ackermann,United States,North America East,CrossFit Naples,19,67 in,170 lb
64,Guillaume Briant,France,Europe,CrossFit HFS,29,180 cm,93 kg
65,Roldan Goldbaum,Mexico,North America West,Strong Suit CrossFit,23,170 cm,86 kg
66,Daniel Tai,United Kingdom,Europe,CrossFit Rotherham,27,172 cm,85 kg
67,John Wood,United States,North America West,BackCountry CrossFit,28,72 in,212 lb
68,Drake Lewis,United States,North America West,Wasatch CrossFit,24,70 in,197 lb
69,Luka Vunjak,Serbia,Europe,CrossFit Minus,23,173 cm,85 kg
70,Rok Dernikovic,Slovenia,Europe,,31,171 cm,81 kg
71,Griffin Roelle,United States,North America East,CrossFit Dwala,31,70 in,205 lb
72,Luke Parker,United States,North America East,CrossFit Mayhem,29,71 in,205 lb
73,Justin Rhodes,United States,North America West,,25,68 in,180 lb
74,Mark Hutchinson,United States,North America East,TriForce CrossFit,35,71 in,218 lb
75,Jacob Pfaff,United States,North America East,Crossfit Invictus 202,31,67 in,215 lb
76,Iurii Marincenco,Italy,Europe,CrossFit Felsina,27,178 cm,88 kg
77,Tobias Fox,Germany,Europe,CrossFit Vitus,29,,
78,Denis Samsonov,United States,North America East,CrossFit Soul Miami,32,70 in,190 lb
79,Anthony Vorachak,United States,North America East,Upper Valley CrossFit,34,69 in,185 lb
80,Joshua Al-chamaa,United Kingdom,Europe,CrossFit Invictus,31,72 in,215 lb
81,Chris Ibarra,United States,North America West,Midwestern Built CrossFit,23,,
82,Brian Huynh,United States,North America West,CrossFit Franco's,29,69 in,180 lb
83,Michael Smith,Ireland,Europe,Crooked Lake CrossFit,31,183 cm,210 lb
84,Tyler Lee,Canada,North America East,CrossFit Resurrection,33,70 in,195 lb
85,Connor Duddy,United States,North America East,Solidarity CrossFit,30,70 in,190 lb
86,Martín Cuervo,Spain,Europe,STL CrossFit,24,176 cm,86 kg
87,Vitor Caetano,Brazil,South America,CrossFit Blessed,24,173 cm,88 kg
88,Austin Hatfield,United States,North America East,,23,66 in,195 lb
89,Lee Sharum,United States,North America East,Camel City CrossFit,25,70 in,185 lb
90,Ludvig Hahnsson,Finland,Europe,CrossFit Basement,32,177 cm,89 kg
91,Nikita Yundov,Europe,CrossFit Mokotow,,30,178 cm,90 kg
92,Michal Wesolowski,Poland,Europe,CrossFit Strong House,30,,
93,David Shorunke,United Kingdom,Europe,High Performance CrossFit,33,189 cm,103 kg
94,Victor Helsinghof,Norway,Europe,CrossFit Oslo,23,177 cm,90 kg
95,Benoît Boulanger,Canada,North America East,Tonic CrossFit,24,186 cm,205 lb
96,Fellonneau Romain,France,Europe,CrossFit Castanet-Tolosan,26,168 cm,76 kg
97,Korby Foxall,United States,North America East,CrossFit Ergon,24,71 in,215 lb
97,Beka Kvernadze,Georgia,Europe,CrossFit 148,27,188 cm,96 kg
99,Colin Bosshard,Switzerland,Europe,CrossFit Bern,22,173 cm,76 kg
100,Jordan Chenier,Canada,North America East,CrossFit Orangeville,27,175 cm,175 lb
101,Tom Kingdon,United Kingdom,Europe,CrossFit Southampton,21,178 cm,87 kg
102,Calum Clements,Spain,Europe,CrossFit Denia,26,185 cm,95 kg
103,Skyler Ocetnik,United States,North America East,Golden Goose CrossFit,31,70 in,200 lb
104,Will Bennett,United States,North America West,,29,70 in,195 lb
105,Tommaso Pieri,Italy,Europe,No Shortcuts CrossFit,26,190 cm,100 kg
106,William Kearney,Australia,Oceania,CrossFit Torian,23,184 cm,90 kg
107,Matúš Kočar,Slovakia,Europe,,21,171 cm,79 kg
108,Anton Foss,United States,North America West,CrossFit Advantage,27,70 in,210 lb
109,Alexandre Pinsolle,France,Europe,CrossFit Happy Hearts,29,188 cm,95 kg
110,Alexander Majors,United States,North America East,CrossFit Polaris,25,,
111,Gaudreau Nicolas,Canada,North America East,,26,,
112,John Champion,Australia,Oceania,CrossFit Balcatta Legion,28,179 cm,90 kg
113,Jake Douglas,Australia,Oceania,Snake CrossFit,32,172 cm,202 lb
114,Agustin Richelme,Argentina,South America,,26,173 cm,85 kg
115,Bartek Lipka,Poland,Europe,CrossFit Strong House,33,177 cm,90 kg
115,Joel Laney,United States,North America West,CrossFit Gambit,31,70 in,195 lb
117,Adam McAdams,United States,North America West,CrossFit Fort Vancouver,30,,
118,Alexander Anasagasti,Spain,Europe,CrossFit Zarautz,31,174 cm,74 kg
119,Gustavo Errico,Venezuela,South America,,25,171 cm,82 kg
120,Morteza Sedaghat,Iran,Asia,,28,172 cm,89 kg
121,Matthew Greene,United States,North America West,CrossFit Wildwood,30,73 in,225 lb
122,Oleg Lascenko,United Kingdom,Europe,,25,175 cm,92 kg
122,Jordan Hayward,United States,North America East,CrossFit Melior,29,71 in,200 lb
124,Jelle Hoste,Belgium,Europe,CrossFit Kortrijk,28,190 cm,98 kg
125,Bryan Hernández,Spain,Europe,Area CrossFit,25,169 cm,79 kg
126,Pietro Anderloni,Italy,Europe,Four Flamingos CrossFit,26,,
126,Steven Fawcett,United Kingdom,Europe,High Performance CrossFit,35,173 cm,85 kg
128,Marcello Clarizio,Canada,North America East,CrossFit de l'est,20,168 cm,170 lb
129,Sam Parkin,United Kingdom,Europe,Wakefield CrossFit,31,178 cm,188 lb
130,Daniel Kuc,United States,North America West,CrossFit OT,20,72 in,175 lb
131,Stephane Cossette,Canada,North America East,CrossFit Le Repere,34,180 cm,210 lb
