Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Zeke Grove,CrossFit Carv,,worldwide,Men,0,worldwide,semifinals,440.924,348.32996,518.0857,275.5775,,66,,,,116,69,433,,
Bartek Lipka,CrossFit Strong House,,worldwide,Men,0,worldwide,semifinals,490,340,635,260,,82,,,,124,96,,1140,57
Ricky Garard,Fitness Alley CrossFit,,Oceania,Men,1,Oceania,quarterfinals,451.9471,363.7623,529.1088,297.6237,490,75,,,890,125,70,405,1052,54
Jeffrey Adler,CrossFit Wonderland,,worldwide,Men,1,worldwide,games,475,377,567,290,511,54,,,917,122,76,438,1155,59
Patrick Vellner,CrossFit Nanaimo,,worldwide,Men,2,worldwide,games,455,355,595,290,389,64,,,1216,134,77,586,1130,66
Tola Morakinyo,CrossFit East Nashville,,worldwide,Men,2,worldwide,open,500,390,615,340,,,,,,,,,,
Conrad Winnertz,CrossFit Ground Zero,,worldwide,Men,2,worldwide,semifinals,,,,,,,,,,175,,,,60
Arielle Loewen,,,worldwide,Women,3,worldwide,games,300,235,345,191,,55,,,,135,82,480,1118,63
Michael van Tonder,Cape CrossFit,,Africa,Men,3,Africa,quarterfinals,407.8547,319.6699,436.51476,266.75902,,,,,,,120,,1329,
Roman Khrennikov,CrossFit Mayhem,,worldwide,Men,3,worldwide,games,473.9933,370,573.2012,280,,75,,,,120,70,,,
Ruan Potgieter,,,worldwide,Men,3,worldwide,semifinals,418.8778,330.693,507.0626,264.5544,337,79,,,,134,,,,
Brent Fikowski,,,worldwide,Men,4,worldwide,games,,,,300,,,,,,,,428,,
William Kearney,CrossFit Torian,,worldwide,Men,4,worldwide,semifinals,429.9009,335.10224,500.44874,264.5544,380,,,,,,121,501,1178,61
Gabriela Migała,CrossFit 72D,,worldwide,Women,4,worldwide,games,330.693,264.5544,374.7854,200.62042,,,,,,,,,,
Katelin Van Zyl,CrossFit Urban Energy,,worldwide,Women,4,worldwide,semifinals,319.6699,231.4851,385.8085,182.98346,,,,,,164,86,,1260,
Tanha Bouffe,CrossFit 4E,,worldwide,Women,5,worldwide,semifinals,275.5775,205.02966,286.6006,169.75574,,,,,1410,249,,652,,
Madeline Sturt,Reebok CrossFit Frankston,,worldwide,Women,5,worldwide,semifinals,308.6468,244.71282,407.8547,165.3465,,,,,,,,,,
Andrei Fedotov,Soyuz CrossFit,,worldwide,Men,5,worldwide,semifinals,451.9471,341.7161,529.1088,275.5775,,,,,,,,,,
Alexis Raptis,TTT CrossFit,,worldwide,Women,6,worldwide,games,,240,,190,,,,,,,,,,
Michelle Merand,CrossFit FBDV,,Africa,Women,6,Africa,quarterfinals,308.6468,231.4851,348.32996,178.57422,,47,,,,151,140,,1380,62
Reilly Smith,CrossFit Newstead,,worldwide,Men,6,worldwide,semifinals,407.8547,319.6699,462.9702,249.12206,,,,,,152,118,,,
Jonne Koski,CrossFit 10K,,worldwide,Men,6,worldwide,games,455,340,530,275,,,,,,,,,,
Gemma Rader,CrossFit Yas,,worldwide,Women,6,worldwide,semifinals,275,,330,190,,,,,,,,,,
Agustin Richelme,,,worldwide,Men,6,worldwide,semifinals,429.9009,352.7392,485.0164,275.5775,,79,,,,118,,,,
Emma Holliday,24N46E CrossFit,,worldwide,Women,7,worldwide,semifinals,260.14516,176.3696,313.05604,143.3003,,,,,,,273,768,,
Luiza Marques,CrossFit Mayhem,,worldwide,Women,7,worldwide,semifinals,230,175,220,145,,,,,,286,,,,
Katrin Tanja Davidsdottir,CrossFit Coeur d'Alene,,worldwide,Women,7,worldwide,games,265,225,315,192,454,,,,,138,88,556,,65
Chandler Smith,CrossFit Invictus,,worldwide,Men,7,worldwide,games,495,360,635,305,,85,,,,123,64,435,1138,
Gustavo Errico,,,worldwide,Men,7,worldwide,semifinals,405,305,445,250,,75,,,,133,100,,,
Justin Holliday,24N46E CrossFit,,worldwide,Men,8,worldwide,semifinals,399.03622,295,462.9702,229,,32,,,,,129,,,
Kang Kyungsun,CrossFit Limelight,,worldwide,Men,8,worldwide,semifinals,415,285,,225,,,,,,,,,,
Danielle Brandon,CrossFit Naples,,worldwide,Women,9,worldwide,games,,240,,210,,,,,,,,,,
Ruslan Miftakhov,,,worldwide,Men,9,worldwide,semifinals,451.9471,341.7161,473.9933,264.5544,,,,,,,,,,
Lago Guiraldes,CrossFit Tuluka,,worldwide,Men,9,worldwide,semifinals,264.5544,198.4158,308.6468,154.3234,,32,,,,,,,,
Angelique Connoway,CrossFit FBDV,,Africa,Women,9,Africa,quarterfinals,308.6468,231.4851,385.8085,182.98346,,,,,,,,,1440,
Justin Swart,CrossFit Juggernaut,,Africa,Men,9,Africa,quarterfinals,429.9009,341.7161,462.9702,257.94054,420,36,,,,126,100,437,1158,57
James Newbury,Raw Iron CrossFit,,worldwide,Men,9,worldwide,semifinals,440.924,319.6699,533.51804,264.5544,369,85,,,,128,86,419,1124,53
Mitchell Case,CrossFit Uplift,,worldwide,Men,10,worldwide,semifinals,385.8085,308.6468,485.0164,264.5544,,50,,,,144,115,484,1293,83
Eren Kim,CrossFit Shooting Star,,worldwide,Men,10,worldwide,semifinals,375,300,441,250,,,,,,146,,,,
Lani Venter,CrossFit 10 Star,,Africa,Women,10,Africa,quarterfinals,297.6237,220.462,374.7854,176.3696,317,47,,,,171,135,622,,
