state,pc11_state_id,TotHosp,TotDocs,UrbanShare,PopDens,SlumPop,TotPop,WorkPop,mean_pollution,num_cells,total_forest2000,max_forest2000,total_forest2001,max_forest2001,total_forest2002,max_forest2002,total_forest2003,max_forest2003,total_forest2004,max_forest2004,total_forest2005,max_forest2005,total_forest2006,max_forest2006,total_forest2007,max_forest2007,total_forest2008,max_forest2008,total_forest2009,max_forest2009,total_forest2010,max_forest2010,total_forest2011,max_forest2011,total_forest2012,max_forest2012,total_forest2013,max_forest2013,total_forest2014,max_forest2014,ec13_state_id,Mean_total_forest_2000_2014,Mean_max_forest_2000_2014,new_deaths,total_cases,Avg
Jammu and Kashmir,1,151,1569.0,0.14340718536585367,1460.9634283170733,662061.9978942871,12541302.0,4322713.0,718.4357469427061,288.5369378145803,1490.2993992531256,29.445689235265466,1557.9540509823025,30.76100016236402,1394.3221302159438,28.23899983763598,1868.0058451047248,35.0284137035233,1634.6056177950964,31.83731125182659,1660.8425069004709,30.607241435297933,1934.7730150998534,34.67202467933106,1733.1837960707908,32.753369053417764,1783.5293067056339,33.51258321156032,1682.5043026465335,30.252313687286897,1919.0477350219192,33.04757265789901,1650.717161876928,33.002435460302,1823.2092872219519,33.980678681604154,1981.7118038642639,35.21854197109921,1795.8444552687124,34.85030037343725,1.0,1727.370027601879,32.48056502679,6,7794,56271.285714285725
Himachal Pradesh,2,146,985.0,0.053349371581196584,307.45892799059845,61312.0,6864602.0,3559422.0,422.2832486156611,40.43773933711872,777.326092697742,35.20480654958404,877.3686781988645,40.385316255116855,766.4808530305031,33.135085171002245,768.5122144460584,37.37904397200581,881.0660900567807,37.68163211408953,791.8383731678331,34.40730225802192,959.9018882873365,39.857256041198994,867.7473260266737,39.696685593556055,878.6633434570183,37.70599498217352,873.0398785157797,37.27399973590387,783.6001584576787,35.98435230423874,847.1574012940712,39.948699326554866,775.1542321404993,35.713653769972275,1072.0094414366831,42.5777102865443,1029.7444869932656,42.57566354152912,2.0,863.3073638804573,37.96848012676612,2,795,107146.42857142855
Punjab,3,620,2198.0,0.2793205845974027,570.6702019480517,1460518.0069198608,27743338.0,9897362.0,1470.9293231932654,80.18992024993834,840.7601742991037,21.658883499136724,1037.3110252404833,23.554386253391428,819.7787552413057,21.187618186302718,893.722190249116,21.95404094384609,1107.9798569431882,23.45054674011346,725.4117405245416,17.832771520184163,945.3729343089698,22.8191235714873,816.0197319740196,19.044396941544022,1192.4956836306833,26.05705829153992,635.0283647126531,14.54723341280934,781.9116994162623,17.593028035846423,1058.4852421277644,20.90290224451205,918.8051467565567,19.812792896489352,1055.1672284798158,23.076132533092164,1339.1481542382635,28.23127517882101,3.0,944.49319520952,21.448146016607804,18,4951,97189.71428571428
Chandigarh,4,6,1052.0,0.97253209,9258.333,95135.0,1055450.0,404136.0,71.59532721688814,1893.0,17986.0,39.0,14909.0,40.0,20219.0,34.0,12246.0,43.0,16446.0,35.0,20963.0,32.0,16831.0,34.0,13513.0,37.0,22287.0,37.0,16774.0,41.0,18848.0,45.0,18265.0,41.0,17413.0,27.0,19925.0,37.0,18127.0,35.0,4.0,17650.133333333335,37.13333333333333,0,669,188329.0
Uttarakhand,5,490,1656.0,0.14075015655128206,358.93835311538453,487741.0000610352,10086292.0,3872275.0,475.8096319339049,43.182693813625676,914.3605324980424,38.62083007047768,897.3202819107283,37.5876272513704,820.4102584181676,35.542678151918565,839.6382928739232,38.63163664839468,994.6064996084572,39.50321064996085,952.8807361002347,39.71761942051683,1031.5028191072827,40.938136256852005,1081.0680501174631,45.24675019577134,985.8319498825373,40.072670321065004,872.4943617854345,36.524588880187935,808.9922474549727,35.08997650743931,970.1854346123728,41.34126859827721,793.1771339075958,34.10070477682068,1059.3413469068128,42.41644479248238,1052.7888801879403,42.21636648394675,5.0,938.3065883581356,39.17003393369876,0,988,121522.28571428572
Haryana,6,110,2417.0,0.2369465946081081,625.6508974324328,1662305.0,25351462.0,8916508.0,1836.334298016373,120.38656987295826,725.4463097398669,14.448427102238355,813.5235934664247,15.746521476104055,650.6979733817303,13.719600725952814,612.4978826376284,13.513006654567453,856.9590139140956,15.281004234724744,611.3581367211133,11.529794313369631,698.6156987295826,13.00453720508167,643.4304295220811,11.937235329703569,1028.0645795523292,18.074107683000605,531.755444646098,10.241681790683606,701.9971264367816,12.89821536600121,932.2483363581367,16.099818511796734,793.2079552329099,13.141560798548095,1104.174984875983,17.967937084089534,992.9532667876587,16.268753781004232,6.0,779.7953821334943,14.258146803791055,3,5475,130091.28571428572
Delhi,7,18,467.63899862766266,0.985322152962963,436254.52067647054,1785390.0049438474,16787941.0,5587049.0,1243.6344661466776,24223.0,105927.0,32.0,115430.0,35.0,110331.0,30.0,117472.0,38.0,136413.0,32.0,132727.0,29.0,165084.0,33.0,114590.0,31.0,165481.0,36.0,128232.0,30.0,134982.0,32.0,148879.0,34.0,187953.0,36.0,167548.0,41.0,118760.0,31.0,7.0,136653.93333333332,33.333333333333336,54,36888,217770.42857142855
Rajasthan,8,591,4939.0,0.1607900034881148,305.55670668852474,2068000.0107135773,68548437.0,29886255.0,1400.1784623244118,154.43130268301115,242.46892865689895,4.9815193979844175,196.77092030738962,3.9192969393995805,269.43074427633155,4.943228654239903,230.10692158374766,3.9179408088919616,259.17249448241023,5.011779721860292,301.4333501741697,5.352859839923418,299.6444810806499,5.8499747387454475,254.34110670885738,4.636636796341106,303.400218044513,6.314755231738772,313.48525540457894,5.8971202169808805,348.7430265642035,5.897093626186615,309.955088148483,6.647539021990588,319.54782354348924,5.883957773818704,485.06097269125434,9.102667056664982,374.3155263647725,6.643364267290663,8.0,300.5251238687833,5.666648939470473,41,26698,65083.142857142855
Uttar Pradesh,9,1672,7019.219780042768,0.15479287445192308,893.5873989423081,6239965.0,199812341.0,65814715.0,7235.7487307766505,50.419987432013684,275.8500725909554,11.679202149559035,346.90880625799036,13.068907235259704,268.9111681726581,10.952144141801558,217.9572363431494,9.445838479707037,326.8776246505883,12.595289172029732,276.5804459468244,10.536035450388956,333.3061496457128,12.154467052373832,300.61602634943335,11.614086979132807,370.5033478515245,15.143773429543435,210.3498125636525,8.270699256755293,257.35226115408784,9.409174630002816,434.4651996792997,16.58377212940692,276.2658020758846,10.558560315499793,557.0135322542201,18.64504106264491,411.887354005504,13.926563955882035,9.0,324.32298930276306,12.305570362665758,30,20958,36278.42857142857
Bihar,10,112,2352.6428565979004,0.06755118044756557,1237.437277368915,1237682.0,104099452.0,34724987.0,2982.5533519957253,52.958748347289564,300.90289407962393,12.325459086234758,423.699368297341,16.13486117232261,566.7514323490525,18.75428235639783,391.84607022183053,13.866578522109592,412.75193183487596,14.634464521815778,451.29584251505804,15.577082415160866,492.0396356691641,16.14050242397532,453.2052886734244,15.936389011311883,479.99615102100785,17.98789481416189,336.8730424562949,12.222535625091815,331.71908329660636,11.115939474070812,711.1854267665639,22.20590568532393,419.71488173938593,14.353018951079768,563.21084178052,18.918407521668872,629.2944322021449,19.212428382547376,10.0,464.2990881935281,15.959049997551437,2,2450,23790.42857142857
