date,state,district,death,infected,source,time,date_obj
03/02/2020,Kerala,Kannur,0,1,http://dhs.kerala.gov.in/%e0%b4%a1%e0%b5%86%e0%b4%af%e0%b4%bf%e0%b4%b2%e0%b4%bf-%e0%b4%ac%e0%b5%81%e0%b4%b3%e0%b5%8d%e0%b4%b3%e0%b4%b1%e0%b5%8d%e0%b4%b1%e0%b4%bf%e0%b4%a8%e0%b5%8d%e2%80%8d/,0:00,2020-02-03
02/03/2020,Delhi,Delhi,0,1,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,0:00,2020-03-02
02/03/2020,Delhi,Delhi,0,5,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,0:00,2020-03-02
02/03/2020,Delhi,Delhi,0,1,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,0:00,2020-03-02
02/03/2020,Telangana,Hyderabad,0,5,NA,19:53,2020-03-02
04/03/2020,Haryana,Faridabad,0,4,https://news.abplive.com/videos/news/haryana-govt-declares-coronavirus-as-epidemic-1174072,21:37,2020-03-04
04/03/2020,Haryana,Gurgaon,0,9,https://news.abplive.com/videos/news/haryana-govt-declares-coronavirus-as-epidemic-1174072,21:37,2020-03-04
04/03/2020,Haryana,Palwal,0,1,https://news.abplive.com/videos/news/haryana-govt-declares-coronavirus-as-epidemic-1174072,21:37,2020-03-04
04/03/2020,Rajasthan,Jaipur,0,1,NA,21:37,2020-03-04
07/03/2020,Tamil Nadu,Kancheepuram,0,1,https://twitter.com/BollyNumbers/status/1242151071029448714?s=20,9:38,2020-03-07
08/03/2020,Kerala,Alappuzha,0,2,http://dhs.kerala.gov.in/%e0%b4%a1%e0%b5%86%e0%b4%af%e0%b4%bf%e0%b4%b2%e0%b4%bf-%e0%b4%ac%e0%b5%81%e0%b4%b3%e0%b5%8d%e0%b4%b3%e0%b4%b1%e0%b5%8d%e0%b4%b1%e0%b4%bf%e0%b4%a8%e0%b5%8d%e2%80%8d/,0:00,2020-03-08
08/03/2020,Kerala,Kasargod,0,2,http://dhs.kerala.gov.in/%e0%b4%a1%e0%b5%86%e0%b4%af%e0%b4%bf%e0%b4%b2%e0%b4%bf-%e0%b4%ac%e0%b5%81%e0%b4%b3%e0%b5%8d%e0%b4%b3%e0%b4%b1%e0%b5%8d%e0%b4%b1%e0%b4%bf%e0%b4%a8%e0%b5%8d%e2%80%8d/,0:00,2020-03-08
08/03/2020,Kerala,Pathanamthitta,0,5,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,0:00,2020-03-08
08/03/2020,Kerala,Thrissur,0,2,http://dhs.kerala.gov.in/%e0%b4%a1%e0%b5%86%e0%b4%af%e0%b4%bf%e0%b4%b2%e0%b4%bf-%e0%b4%ac%e0%b5%81%e0%b4%b3%e0%b5%8d%e0%b4%b3%e0%b4%b1%e0%b5%8d%e0%b4%b1%e0%b4%bf%e0%b4%a8%e0%b5%8d%e2%80%8d/,0:00,2020-03-08
09/03/2020,Karnataka,Bangalore,0,1,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,0:00,2020-03-09
09/03/2020,Punjab,Amritsar,0,1,https://www.pharmaceutical-technology.com/news/india-covid-19-coronavirus-updates-status-by-state/,0:00,2020-03-09
10/03/2020,Karnataka,Bangalore,0,3,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,22:12,2020-03-10
10/03/2020,Karnataka,Gulbarga,2,1,https://economictimes.indiatimes.com/news/politics-and-nation/man-suspected-of-coronavirus-dies-after-returning-from-saudi-arabia/articleshow/74574771.cms,21:32,2020-03-10
10/03/2020,Kerala,Kottayam,0,2,http://dhs.kerala.gov.in/%e0%b4%a1%e0%b5%86%e0%b4%af%e0%b4%bf%e0%b4%b2%e0%b4%bf-%e0%b4%ac%e0%b5%81%e0%b4%b3%e0%b5%8d%e0%b4%b3%e0%b4%b1%e0%b5%8d%e0%b4%b1%e0%b4%bf%e0%b4%a8%e0%b5%8d%e2%80%8d/,0:00,2020-03-10
10/03/2020,Kerala,Kottayam,0,2,https://www.mohfw.gov.in/pdf/DistrictWiseList324.pdf,0:00,2020-03-10
10/03/2020,Kerala,Pathanamthitta,0,2,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,0:00,2020-03-10
10/03/2020,Maharashtra,Thane,0,5,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,0:00,2020-03-10
10/03/2020,Rajasthan,Jaipur,0,1,https://www.deccanherald.com/national/anti-hiv-drugs-given-to-treat-coronavirus-affected-elderly-italian-couple-in-jaipur-812356.html,16:25,2020-03-10
11/03/2020,Maharashtra,Nagpur,0,1,https://www.firstpost.com/health/coronavirus-outbreak-live-updates-covid-19-who-pandemic-quarantine-india-noida-bangalore-cases-alert-novel-latest-news-today-ipl-school-college-8138611.html,16:09,2020-03-11
12/03/2020,Andhra Pradesh,Sri_Potti_Sriramulu_Nellore,0,1,https://twitter.com/RajivKrishnaS/status/1240644921423310849?s=20,0:00,2020-03-12
12/03/2020,Maharashtra,Pune,0,9,https://www.firstpost.com/health/coronavirus-outbreak-live-updates-covid-19-who-pandemic-quarantine-india-noida-bangalore-cases-alert-novel-latest-news-today-ipl-school-college-8152371.html,0:00,2020-03-12
12/03/2020,Uttar Pradesh,GBN_Faridabad,0,1,https://www.mohfw.gov.in/pdf/DistrictWiseList324.pdf,14:26,2020-03-12
13/03/2020,Delhi,Delhi,1,0,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India,0:00,2020-03-13
13/03/2020,Jammu and Kashmir,Jammu,0,1,https://twitter.com/diprjk/status/1238438565027045383?s=20,21:37,2020-03-13
