road,id,name,lat,lon,model_type,condition,length,,,
N1,678,LRPE,20.8629167,92.298083,sourcesink,K,1,,,
N1,677,roadLRP456,20.8726593,92.29809571,link,A,2292.05,,,
N1,676,LRP456,20.8824019,92.29810841,bridge,A,18.7,,,
N1,675,roadLRP455,20.88628018,92.29691325,link,B,1106.95,,,
N1,674,LRP455,20.89015845,92.29571808,bridge,B,37.3,,,
N1,673,roadLRP454,20.89191941,92.29259314,link,A,808,,,
N1,672,LRP454,20.89368036,92.28946821,bridge,A,9,,,
N1,671,roadLRP453,20.89538961,92.28726449,link,A,601.9,,,
N1,670,LRP453,20.89709885,92.28506077,bridge,A,15.1,,,
N1,669,roadLRP452,20.90091466,92.28151024,link,A,1205.346154,,,
N1,668,LRP452,20.90473047,92.27795972,bridge,A,13.65384615,,,
N1,667,roadLRP451,20.90811058,92.27569147,link,A,913.3909091,,,
N1,666,LRP451,20.91149068,92.27342323,bridge,A,15.33636364,,,
N1,665,roadLRP450,20.91504168,92.27110657,link,A,949.3584416,,,
N1,664,LRP450,20.91859268,92.26878991,bridge,A,14.34285714,,,
N1,663,roadLRP449,20.92394759,92.26647425,link,A,1317.854762,,,
N1,662,LRP449,20.9293025,92.2641586,bridge,A,16.88333333,,,
N1,661,roadLRP448,20.93208408,92.26357639,link,A,614.4333333,,,
N1,660,LRP448,20.93486565,92.26299419,bridge,A,31.9,,,
N1,659,roadLRP447,20.93974815,92.2616615,link,A,1162.875,,,
N1,658,LRP447,20.94463066,92.26032881,bridge,A,20.125,,,
N1,657,roadLRP446,20.94794749,92.25888117,link,A,893.46,,,
N1,656,LRP446,20.95126433,92.25743352,bridge,A,17.84,,,
N1,655,roadLRP445,20.95561579,92.25557657,link,A,1058.98,,,
N1,654,LRP445,20.95996726,92.25371962,bridge,A,20.62,,,
N1,653,roadLRP444,20.9631107,92.25204995,link,A,804.5142857,,,
N1,652,LRP444,20.96625414,92.25038027,bridge,A,3.371428571,,,
N1,651,roadLRP443,20.97118202,92.25030891,link,A,1202.154286,,,
N1,650,LRP443,20.97610991,92.25023756,bridge,A,27.36,,,
N1,649,roadLRP442,20.97872081,92.25117552,link,C,625,,,
N1,648,LRP442,20.98133172,92.25211348,bridge,C,1.2,,,
N1,647,roadLRP441,20.98534499,92.25334236,link,C,927.1,,,
N1,646,LRP441,20.98935826,92.25457123,bridge,C,29.9,,,
N1,645,roadLRP440,20.99438208,92.25414633,link,C,1150.5,,,
N1,644,LRP440,20.9994059,92.25372143,bridge,C,12.5,,,
N1,643,roadLRP439,21.00393005,92.25208659,link,B,1079.666667,,,
N1,642,LRP439,21.0084542,92.25045176,bridge,B,31.33333333,,,
N1,641,roadLRP438,21.01307369,92.24712742,link,A,1267.833333,,,
N1,640,LRP438,21.01769318,92.24380307,bridge,A,2.5,,,
N1,639,roadLRP437,21.02225017,92.24274903,link,A,1079.516667,,,
N1,638,LRP437,21.02680717,92.241695,bridge,A,3.65,,,
N1,637,roadLRP436,21.03041901,92.24120068,link,B,790.4,,,
N1,636,LRP436,21.03403085,92.24070637,bridge,B,32.1,,,
N1,635,roadLRP435,21.03707392,92.23926341,link,A,751.4666667,,,
N1,634,LRP435,21.040117,92.23782045,bridge,A,2.866666667,,,
N1,633,roadLRP434,21.04438562,92.23606867,link,C,1023.716667,,,
N1,632,LRP434,21.04865423,92.23431689,bridge,C,16.45,,,
N1,631,roadLRP433,21.05191817,92.23085957,link,B,1261.1,,,
N1,630,LRP433,21.05518211,92.22740225,bridge,B,7.733333333,,,
N1,629,roadLRP432,21.05838892,92.22658429,link,A,769,,,
N1,628,LRP432,21.06159572,92.22576632,bridge,A,21,,,
N1,627,roadLRP431,21.06649539,92.22480233,link,A,1197.686667,,,
N1,626,LRP431,21.07139505,92.22383833,bridge,A,5.58,,,
N1,625,roadLRP430,21.07478091,92.22153077,link,A,972.375,,,
N1,624,LRP430,21.07816676,92.21922321,bridge,A,2.775,,,
N1,623,roadLRP429,21.08186612,92.21728527,link,A,956.1833333,,,
N1,622,LRP429,21.08556547,92.21534733,bridge,A,5.733333333,,,
N1,621,roadLRP428,21.08933089,92.21371517,link,A,925.2583333,,,
N1,620,LRP428,21.09309631,92.21208302,bridge,A,3.075,,,
N1,619,roadLRP427,21.09742836,92.21019282,link,A,1070.64,,,
N1,618,LRP427,21.1017604,92.20830261,bridge,A,14.76,,,
N1,617,roadLRP426,21.10544172,92.20632675,link,A,1097.76,,,
N1,616,LRP426,21.10912304,92.2043509,bridge,A,1.84,,,
N1,615,roadLRP425,21.11210596,92.20117557,link,A,890.2,,,
N1,614,LRP425,21.11508888,92.19800024,bridge,A,6.6,,,
N1,613,roadLRP424,21.11913594,92.19527093,link,A,1119.91875,,,
N1,612,LRP424,21.123183,92.19254163,bridge,A,23.90625,,,
N1,611,roadLRP423,21.12614947,92.19016087,link,A,854.1083333,,,
N1,610,LRP423,21.12911595,92.18778011,bridge,A,3.433333333,,,
N1,609,roadLRP422,21.13139974,92.18418812,link,A,969.0666667,,,
N1,608,LRP422,21.13368354,92.18059614,bridge,A,3.1,,,
N1,607,roadLRP421,21.1353273,92.17623067,link,A,1052.833333,,,
N1,606,LRP421,21.13697106,92.1718652,bridge,A,10.16666667,,,
N1,605,roadLRP420,21.13822009,92.16741482,link,A,995.0666667,,,
N1,604,LRP420,21.13946913,92.16296445,bridge,A,11.76666667,,,
N1,603,roadLRP419,21.14274816,92.1604013,link,A,937.8666667,,,
N1,602,LRP419,21.1460272,92.15783816,bridge,A,39.63333333,,,
N1,601,roadLRP418,21.1483877,92.15622672,link,C,665.0666667,,,
N1,600,LRP418,21.15074819,92.15461528,bridge,C,13.26666667,,,
N1,599,roadLRP417,21.1564935,92.15348514,link,A,1400.23,,,
N1,598,LRP417,21.16223882,92.152355,bridge,A,2.97,,,
N1,597,roadLRP416,21.16601012,92.15323213,link,A,934.9875,,,
N1,596,LRP416,21.16978142,92.15410926,bridge,A,12.8125,,,
