road,id,name,lat,lon,model_type,condition,length
N1,0,LRPS,23.7060278,90.443333,sourcesink,K,1.0
N1,1,roadLRPS,23.702383230000002,90.45109703999995,link,K,1799.0000000000002
N1,2,LRP001,23.69873866,90.4588610799999,bridge,A,11.3
N1,3,roadLRP001,23.6967012481818,90.47331799909085,link,A,3113.7
N1,4,LRP004,23.6946638363636,90.4877749181818,bridge,A,6.6
N1,5,roadLRP004,23.69986186446555,90.50549453226654,link,A,4044.4000000000015
N1,6,LRP008,23.7050598925675,90.5232141463513,bridge,A,395.615
N1,7,roadLRP008,23.700045460944217,90.53000381143468,link,A,1401.7183333333332
N1,8,LRP010,23.695031029320933,90.53679347651807,bridge,A,6.866666666666667
N1,9,roadLRP010,23.693333535506518,90.53999195962831,link,A,771.7999999999989
N1,10,LRP011,23.6916360416921,90.54319044273855,bridge,A,9.45
N1,11,roadLRP011,23.69000103564195,90.54589730555293,link,A,684.5500000000015
N1,12,LRP012,23.6883660295918,90.5486041683673,bridge,A,7.7
N1,13,roadLRP012,23.686946897172803,90.54992497415475,link,A,413.3000000000013
N1,14,LRP013,23.6855277647538,90.5512457799422,bridge,A,26.9
N1,15,roadLRP013,23.681665632376898,90.55353260747106,link,A,880.0999999999988
N1,16,LRP014,23.6778035,90.5558194349999,bridge,A,11.9
N1,17,roadLRP014,23.67055628480745,90.55983821489846,link,A,1879.0999999999992
N1,18,LRP016,23.6633090696149,90.563856994797,bridge,B,5.55
N1,19,roadLRP016,23.65886738736425,90.5702936098985,link,B,1663.450000000001
N1,20,LRP017,23.6544257051136,90.576730225,bridge,C,159.51
N1,21,roadLRP017,23.65284430569195,90.57936546647335,link,C,488.99000000000115
N1,22,LRP018,23.6512629062703,90.58200070794669,bridge,A,22.61875
N1,23,roadLRP018,23.64861575059275,90.5856063446513,link,A,936.881249999999
N1,24,LRP019,23.6459685949152,90.5892119813559,bridge,C,40.4325
N1,25,roadLRP019,23.6409241953422,90.59237136135103,link,C,1296.067499999996
N1,26,LRP020,23.6358797957692,90.59553074134615,bridge,A,8.2
N1,27,roadLRP020,23.6321733232692,90.59891615682693,link,A,1097.3000000000043
N1,28,LRP021,23.6284668507692,90.6023015723077,bridge,A,88.62333333333333
N1,29,roadLRP021,23.624175036860002,90.6053272287768,link,A,1055.376666666664
N1,30,LRP022,23.6198832229508,90.6083528852459,bridge,B,5.5
N1,31,roadLRP022,23.617748656689276,90.60928983430743,link,B,504.999999999999
N1,32,LRP023,23.61561409042775,90.61022678336896,bridge,A,169.11375
N1,33,roadLRP023,23.609186839493027,90.61287923996824,link,A,1385.3862499999998
N1,34,LRP024,23.6027595885583,90.6155316965675,bridge,A,912.425
N1,35,roadLRP024,23.597327478663175,90.62231754750925,link,A,978.0750000000005
N1,36,LRP026,23.59189536876805,90.62910339845101,bridge,A,5.55
N1,37,roadLRP026,23.589106745654025,90.63180640958015,link,A,830.9500000000014
N1,38,LRP027,23.58631812254,90.6345094207093,bridge,A,5.6
N1,39,roadLRP027,23.58214907369375,90.6382143648516,link,A,1189.3999999999992
N1,40,LRP028,23.577980024847495,90.6419193089939,bridge,A,169.61666666666667
N1,41,roadLRP028,23.574805325271996,90.64366761633906,link,A,653.3833333333341
N1,42,LRP029,23.5716306256965,90.6454159236842,bridge,A,29.405
N1,43,roadLRP029,23.5688170106743,90.6470198242062,link,A,674.5949999999965
N1,44,LRP030,23.5660033956521,90.6486237247282,bridge,A,34.7
N1,45,roadLRP030,23.56259721264085,90.65218564754925,link,A,1031.3000000000015
N1,46,LRP031,23.5591910296296,90.6557475703703,bridge,A,26.849999999999998
N1,47,roadLRP031,23.556458135026823,90.6588976101388,link,A,861.6500000000044
N1,48,LRP032,23.55372524042405,90.6620476499073,bridge,A,29.406250000000004
N1,49,roadLRP032,23.5507032173102,90.66558569381525,link,A,960.5937499999975
N1,50,LRP033,23.54768119419635,90.6691237377232,bridge,A,7.15
N1,51,roadLRP033,23.544853871278175,90.6723393327416,link,A,901.3499999999937
N1,52,LRP034,23.54202654836,90.67555492776,bridge,A,53.324
N1,53,roadLRP034,23.537400869110847,90.68071251779705,link,A,1432.6759999999936
N1,54,LRP035,23.5327751898617,90.6858701078341,bridge,A,9.5
N1,55,roadLRP035,23.53196265540479,90.68689414267453,link,A,277.29999999999677
N1,56,LRP036,23.531150120947878,90.68791817751497,bridge,A,21.66
N1,57,roadLRP036,23.530767297123937,90.69517922590748,link,A,1520.540000000004
N1,58,LRP037,23.5303844733,90.7024402743,bridge,A,1408.8
