,driving_time_0,driving_time_1,driving_time_2,driving_time_3,driving_time_4
0,114.3038858,114.3038858,114.3038858,141.8065322,224.4964347
1,113.8350785,113.8350785,119.6215497,129.6465668,299.1533797
2,113.7281936,113.7281936,115.9300162,133.2223656,187.4960947
3,114.6891084,114.6891084,115.244271,158.7261069,
4,114.1609329,114.1609329,114.8419108,128.2939341,
5,114.8405809,114.8405809,159.5044481,184.184794,
6,113.8175409,113.8175409,124.0769263,169.387384,
7,113.8653663,114.1243878,120.6997673,152.9232246,
8,113.7089951,113.7089951,115.8084391,128.5152497,
9,114.3499357,114.3499357,121.8177966,126.3053939,
,,,,,
,114.1299618,114.155864,122.1849011,145.3011552,237.0486364
