,road,chainage,lrp,lat,lon,gap,type,name
0,N1,0.0,LRPS,23.7060278,90.443333,,Others,Start of Road  after Jatrabari Flyover infront of filling station.
1356,N102,0.0,LRPS,23.4789716,91.1181938,,Others,Start of road from N1 Mainamati
1710,N105,0.0,LRPS,23.6904163,90.5466108,,Others,"Starts of road from N1,Dhaka teknaf road at Madanpur."
1827,N106,0.0,LRPS,22.393555199999998,91.82158270000001,,Others,Start of Road  from Oxygen  More
2039,N107,0.0,LRPS,22.3944163,91.89183299999999,,Others,Start of Road from Kalurghat Bridge End
2070,N108,0.0,LRPS,22.1021389,92.0740827,,Others,Start of road from N1 at Keranirhat
2174,N110,0.0,LRPS,21.4259438,92.0232493,,Others,"Road Start from N1 at Teknaff 79 Km Cox,s Bazar 8 Km."
2346,N2,0.0,LRPS,23.7059167,90.5214438,,Others,Road Start from N1 at Katchpur
3237,N204,0.0,LRPS,24.1479163,91.34661080000001,,Others,Road start from N2 at Jagannathganj.
3338,N206,0.0,LRPS,24.885944100000003,91.868166,,"SideRoad,Left","Road start at Keean bridge More ,intersection of N209, R250, N205 anf N206"
3346,N207,0.0,LRPS,24.294860800000002,91.51025,,Others,Road start from N2 at Mirpur.
3512,N208,0.0,LRPS,24.4713604,91.7655556,,Others,Road Start from N207 infront of RHD
3689,N209,0.0,LRPS,24.8775549,91.8753604,,Others,Start of the Road at Humayun Rashid Chattar Intersection between N2 and N209  
